cd11c FITC	CD45 PE	F4/80 PeCy7	cd11b PB	MHCII APC	Ly6G APC cy7	PI
D	D	D	D	D	D	D
Q	Q	Q	Q	Q	Q	Q
5503.99	1841.23	598.368	1802.46	481.287	327.38	1384.79
801.963	433.349	1098.21	301.911	161.388	32.3148	3703.2
72.7119	381.474	10065	64.4741	0	45.9812	37167.2
8704.07	2830.78	35939.4	4671.8	1155.41	1593.5	124245
1969.93	376.311	164.026	1421.82	0	59.582	691.044
718.922	8.70915	546.738	452.572	223.531	0	386.458
133.563	43.2729	446.558	75.7581	0	0	743.772
140.176	0	59.8974	0	238.766	0	0
6417.91	4763.97	51333.2	3498.64	947.326	429.376	196415
1060.04	388.771	1312.8	755.051	568.575	208.477	2761.47
77.0369	0	293.941	0	0	0	348.579
0	0	66.0871	95.2681	41.1843	16.2643	0
10428.2	7962.68	62313.4	9147.73	2235.43	228.835	243101
95.6876	0	29366	220.64	0	2215.36	107116
6209.42	1677.55	1075.78	1842.57	541.788	193.636	3436.08
12.0712	0	12.3767	0	0	16.58	0
694.87	564.639	322.897	359.319	82.3024	0	1917.27
89.067	0	390.498	0	157.274	66.1081	0
1540.6	734.579	2582.36	546.572	0	51.0902	8670.7
0	21.0372	168.649	12.8848	0	116.733	0
4570.39	1273.21	3687.92	1798.79	4565.98	0	12598.5
5871.05	1805.99	839.128	6820.17	711.776	30.9465	2277.75
779.299	1182.51	98634.1	489.816	975.322	544.26	243057
7615.47	3259.2	14138.5	2403.65	875.384	197.557	54805.6
2436.42	909.752	3138.55	1889.46	214.155	1431.23	9479.27
1378.66	418.279	1273.92	643.553	0	207.406	3724.34
1709.95	311.075	642.14	460.218	150.967	22.3046	2970.31
22496.1	7911.71	23409.1	6530.59	1719.4	1671.29	87195.1
17901	5695.01	48898.7	10397.7	2423.53	3882.39	163990
13.704	198.319	30635.8	46.4298	0	499.749	112258
11030.3	7046.16	6966.12	8869.89	6263.38	747.221	15501.1
16426.5	10490.6	73083.5	9448.98	3109.28	1416.96	244669
8311.64	2535.8	1882.86	2454.06	747.055	57.9884	5901.16
2498.35	0	14308.4	2371.42	1089.08	940.713	13683.5
3663.99	2057.97	34378.3	1101.93	136.023	2016.61	127526
0	0	323.214	0	0	0	0
1546.18	1028.45	10519.3	874.262	116.567	210.821	37095.5
15879.1	12071.4	95457.9	11908.8	1996.14	1039.48	240065
0	0	0	27.2321	306.669	0	0
0	49.5885	0	0	20.8676	64.1192	375.487
5853.58	4744.32	62179.2	3481.66	1969.95	400.212	226785
0	0	0	2.10005	56.2143	0	0
2606.79	1313.52	27762.8	499.322	361.507	1318.61	106375
1918.35	1950.79	48866.9	1483.76	624.26	819.06	168637
1310.24	360.747	1900.27	867.802	475.959	1001.73	3936.34
75.4186	0	75.4699	0	0	14.6882	0
560.152	446.689	3010.1	350.67	216.687	22.0157	12646.4
55.8905	0	0	0.86871	0	70.8882	16.8133
59.6671	39.866	0	18.6727	51.1987	0	0
0	5.93487	0	23.4332	41.3651	3.65584	61.9587
30.5305	0	338.71	98.6551	64.8762	0	0
98.5786	0	131.16	98.0418	157.295	66.8071	4.2083
0	49.3808	16.1801	159.729	258.098	0	64.4586
111.075	0	215.151	18.4614	91.8206	0	0
91.0078	0	488.286	110.145	0	28.5527	177.599
2687.14	566.043	188.144	614.437	295.66	7.10397	0
107.623	96.9835	26.5944	80.6108	0	0	1152.09
75.5418	39.0381	9.47134	206.554	0	0	266.949
1360.63	333.527	871.657	360.96	0	42.4068	1713.32
160.15	223.895	27004.6	117.111	5.64438	53.6347	107500
1524.08	801.516	672.096	635.521	261.944	336.289	3401.06
1194.82	686.776	248.398	673.5	228.501	64.8604	3521.97
70.2874	0	0	187.538	0	16.0673	393.099
1379.25	458.394	1116.2	498.363	140.214	16.5099	2432.68
0	0	333.942	70.5103	0	0	0
204.134	54.9063	193.306	34.8378	0	85.2843	254.75
2531.77	1015.79	866.137	1391.73	466.479	24.9755	4750.26
1219.92	218.372	215.769	343.338	0	0	130.369
3610.67	1390.92	0	1359.05	70.727	81.3758	653.037
9460.96	2635.42	487.703	2959.86	326.107	164.573	2120.96
2360.79	727.472	1109.84	1126.35	229.742	52.2021	2324.47
129.922	171.04	0	175.456	77.4255	73.361	399.25
0	0	186.74	84.345	72.9361	25.972	0
564.33	2237.29	114585	525.706	396.658	374.057	239794
675.675	372.192	275.642	539.219	432.356	174.279	577.659
1831.82	491.177	1284.37	1031.96	176.21	23.9181	4582
352.004	178.394	386.905	351.187	147.207	0	1192.79
10.5359	178.732	0	138.389	253.277	4.19598	250.322
304.29	363.868	23663.6	53.9856	0	207.582	95527.4
1534.43	687.34	385.757	726.742	0	0	2177.83
959.497	140.595	0	391.34	273.33	0	201.513
545.945	12.2118	4321.77	566.449	481.39	283.275	7880.92
0	52.5597	0	24.0145	91.4251	0	0
0	41.4696	0	12.5994	166.04	0	0
1273.52	1215.03	1389.52	1607.33	1481.88	916.651	4355.82
1628.92	372.776	1328.14	999.134	69.9591	547.612	2887.05
2794.09	1135.44	3587.52	1719.49	488.827	89.0251	12869.9
94.5343	164.799	621.413	348.582	0	0	2457.95
1038.67	261.519	1148.21	938.271	2777.4	54.962	3071.85
6029.14	2420.71	5288.95	4084.54	1098.44	1841.87	15495.3
34.3553	0	33294.2	180.377	363.889	1447.3	117704
104.237	748.486	28692.9	2.76302	45.8258	402.446	113446
476.314	1119.39	48262.2	88.3731	220.18	342.452	181789
207.102	621.495	29448.2	0	135.544	148.329	113223
392.023	221.012	11109.1	396.09	212.027	0	32996.1
476.694	1192.48	32656.2	152.071	218.903	158.412	116051
71.6047	64.6346	0	191.113	1.68303	10.4209	523.628
193.677	0	643.79	511.227	43.5117	52.5549	3219.4
687.643	388.1	43162.6	467.444	0	313.026	145369
0	316.108	2695.1	96.8691	0	0.438365	9279.6
0	71.8018	0	72.5682	116.934	0	0
0	0	0	0	85.2678	0	0
190.737	114.652	447.593	295.633	356.472	525.746	1649.58
933.619	484.31	1127.26	491.107	32.6301	0	3626.48
2278.61	659.621	281.714	525.182	182.847	143.306	745.28
38.0054	0	409.428	83.4529	15.2328	4.18406	391.02
2389.32	864.754	1888.73	1319.47	324.232	740.761	3530.47
1865.09	502.396	1849.11	1222.58	358.188	435.365	3851.96
1180.98	319.908	0	451.126	523.56	0	368.589
2201.45	561.109	0	494.344	205.808	0	198.117
1919.64	42293.5	10309.3	684.181	9382.35	12.6296	38939.6
0	0	91.76	0	0	0	0
1049.96	250.019	553.111	475.503	84.0059	22.6517	1343.62
1547.74	465.929	904.395	648.713	141.482	60.5503	2353.9
1795.63	684.918	1993.91	1000.43	847.442	430.57	4363.45
1016.99	489.988	254.315	511.453	0	206.962	1356.86
472.316	0	22004.6	0	27069.9	260871	0
0	34.5024	0	3.76792	0	0	218.903
1292.16	377.249	1841.55	1001.52	199.453	312.626	5849.69
166.115	61902	218.451	0	251.071	0	1414.81
1097.25	119.227	869.894	711.587	0	267.908	2026.62
0	69.8015	0	0	0	10.1507	174.016
33.9091	10.0121	98.8575	163.659	0	18.1023	537.272
37.6364	0	97.5471	3.68506	0	15.6708	0
1133.82	486.598	0	225.079	238.435	0	163.445
548.004	139.927	250.778	147.66	0	0	257.068
0	179.646	0	0	73.9362	62.325	0
2720.54	1137.79	2466.2	1548.91	140.424	41.7001	7092.49
